,tweet type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
0,RT,RamsHouse,300,214,1,7791,,,,ArashMarkazi,122863,2296,2935,103421,,,
1,RT,CDJ15894385,1444,5004,3,96479,,,,RamsNFL,1060485,512,6389,59603,,,
2,RT,pirker_josef,68,208,0,332,,,,KreeptoKiid,1147,3754,2,4586,,,
3,Tweet,KushlifeDFS,1193,4987,12,8242,,,,KushlifeDFS,1147,3754,2,4586,,,
4,Tweet,ShakiraPaye,2101,490,9,18504,,,,ShakiraPaye,1147,3754,2,4586,,,
5,RT,CincyFanZone,2118,1329,95,182697,,,,Bengals,1084742,248,6336,31051,,,
6,RT,Netito37,125,658,4,48290,,,,NBALatam,607199,507,913,60062,,,
7,RT,JimMcCann52,5,121,0,302,,,,WUTangKids,98481,943,291,6933,,,
8,RT,Hicks45J,485,1858,10,91663,,,,NFL,28642231,2722,50429,233789,,,
9,RT,ahj1968,830,4937,9,103925,,,,SNFonNBC,993035,2480,5415,79758,,,
10,Tweet,ExploitedMOX,120,758,1,176,,,,ExploitedMOX,993035,2480,5415,79758,,,
11,Tweet,NWardisiani,13,15,0,63,,,,NWardisiani,993035,2480,5415,79758,,,
12,RT,Crypto_Mr__Z_R,274,1276,6,118647,,,,SuperlativeDAO,1436,81,0,163,,,
13,Tweet,atcoolguydotcom,205,337,30,21362,,,,atcoolguydotcom,1436,81,0,163,,,
14,Tweet,G8tekeeper,2093,2600,75,80851,,,,G8tekeeper,1436,81,0,163,,,
15,Tweet,TMounphosay,1,16,0,29,,,,TMounphosay,1436,81,0,163,,,
16,Tweet,RtimeBd,166,823,3,3516,,,,RtimeBd,1436,81,0,163,,,
17,RT,gmoney1197,399,1517,2,39798,,,,Bengals,1084742,248,6336,31051,,,
18,Tweet,marcoknowsthat,54,50,0,163,,,,marcoknowsthat,1084742,248,6336,31051,,,
19,Tweet,SantinoCorleon,8578,1821,48,70868,,,,SantinoCorleon,1084742,248,6336,31051,,,
20,RT,R1a9y9j2,1149,5000,11,241641,,,,Bengalsmanic,1927,1652,15,10133,,,
21,RT,tedigreyowl,223,1001,12,21016,,,,ndnsports,15053,3727,102,23839,,,
