,tweet type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_date,A_text,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_date,B_text,B_network_feature_1,B_network_feature_2,B_network_feature_3,A-B_network_feature_3,A-B_listed_count,A-B_follower_count,cleaned_A_text,A_sentiment_score,A_sentiment,cleaned_B_text,B_sentiment_score,B_sentiment
0,RT,FunPop7,33,57,2,7813,Thu Oct 31 21:01:39 +0000 2019,RT @SweetSummerSN: Eileen Gu already chose freedom.,5,64929.806,0.136,SweetSummerSN,1284,477,4,2255,Mon Jan 03 06:05:55 +0000 2022,Eileen Gu already chose freedom. https://t.co/ziwHm7tnwS,33,107164.715,0.131,0.0050000000000000044,-2,-1251,"['sweetsummersn', 'already', 'chose', 'rt', 'gu', 'freedom', 'eileen']",0.6369,Positive,"['already', 'httpstcoziwhm7tnws', 'chose', 'gu', 'freedom', 'eileen']",0.6369,Positive
1,Tweet,hdwrench51,776,1184,14,98400,Tue Mar 24 05:02:05 +0000 2009,"Eileen Gu, US-born ski star competing for China, has reportedly raked in loads of cash from Chinese sponsorship dea… https://t.co/uhDK6lOPYK",2,0.0,0.0,hdwrench51,1284,477,4,2255,Mon Jan 03 06:05:55 +0000 2022,Eileen Gu already chose freedom. https://t.co/ziwHm7tnwS,2,0.0,0.0,0.0,10,-508,"['sponsorship', 'china', 'chinese', 'loads', 'usborn', 'dea…', 'star', 'ski', 'cash', 'gu', 'competing', 'raked', 'httpstcouhdk6lopyk', 'reportedly', 'eileen']",0.0,Neutral,"['already', 'httpstcoziwhm7tnws', 'chose', 'gu', 'freedom', 'eileen']",0.6369,Positive
2,RT,sunshinecityz,28,893,5,296,Tue Jan 25 19:25:38 +0000 2022,"RT @revmahoney: Eileen Gu says she wants ""to inspire girls in China."" Then why haven't you said ANYTHING about Uyghur girls who are brutali…",1,0.0,0.098,revmahoney,23390,2718,125,26876,Tue Jan 26 17:33:10 +0000 2010,"Eileen Gu says she wants ""to inspire girls in China."" Then why haven't you said ANYTHING about Uyghur girls who are… https://t.co/3PJ7ojHcP8",62,145623.438,0.118,-0.01999999999999999,-120,-23362,"['girls', 'china', 'says', 'rt', 'havent', 'inspire', 'wants', 'said', 'revmahoney', 'gu', 'anything', 'uyghur', 'brutali…', 'eileen']",0.5719,Positive,"['girls', 'china', 'says', 'havent', 'inspire', 'are…', 'httpstco3pj7ojhcp8', 'wants', 'said', 'gu', 'anything', 'uyghur', 'eileen']",0.5719,Positive
3,Tweet,ElCid_1202,39,511,3,13421,Sun May 02 14:11:59 +0000 2010,Nikki Haley Tells Olympic Skier Eileen Gu She Can't Be American and Chinese https://t.co/rwuAQjmmjF,2,0.0,0.0,ElCid_1202,23390,2718,125,26876,Tue Jan 26 17:33:10 +0000 2010,"Eileen Gu says she wants ""to inspire girls in China."" Then why haven't you said ANYTHING about Uyghur girls who are… https://t.co/3PJ7ojHcP8",2,0.0,0.0,0.0,-122,-23351,"['httpstcorwuaqjmmjf', 'haley', 'olympic', 'cant', 'skier', 'nikki', 'american', 'chinese', 'gu', 'tells', 'eileen']",0.0,Neutral,"['girls', 'china', 'says', 'havent', 'inspire', 'are…', 'httpstco3pj7ojhcp8', 'wants', 'said', 'gu', 'anything', 'uyghur', 'eileen']",0.5719,Positive
4,Tweet,RAMSEYUNKNOWN,5140,5647,62,117165,Mon Oct 10 14:54:50 +0000 2011,Nikki Haley Tells Olympic Skier Eileen Gu She Can't Be American and Chinese https://t.co/dF1XP6dQod,2,0.0,0.0,RAMSEYUNKNOWN,23390,2718,125,26876,Tue Jan 26 17:33:10 +0000 2010,"Eileen Gu says she wants ""to inspire girls in China."" Then why haven't you said ANYTHING about Uyghur girls who are… https://t.co/3PJ7ojHcP8",2,0.0,0.0,0.0,-63,-18250,"['haley', 'httpstcodf1xp6dqod', 'olympic', 'cant', 'skier', 'nikki', 'american', 'chinese', 'gu', 'tells', 'eileen']",0.0,Neutral,"['girls', 'china', 'says', 'havent', 'inspire', 'are…', 'httpstco3pj7ojhcp8', 'wants', 'said', 'gu', 'anything', 'uyghur', 'eileen']",0.5719,Positive
5,RT,FJPence,2502,4168,343,199050,Mon Dec 06 21:42:44 +0000 2010,"RT @realDailyWire: American-Born Eileen Gu, Competing For China, Uses Chinese Platform To Plug App Banned In China https://t.co/Kw52qZj9Eq…",1,0.0,0.088,realDailyWire,757864,2609,3220,160364,Sat Oct 31 15:42:25 +0000 2015,"American-Born Eileen Gu, Competing For China, Uses Chinese Platform To Plug App Banned In China… https://t.co/FVa67id77k",32,61413.691,0.104,-0.016,-2877,-755362,"['americanborn', 'realdailywire', 'httpstcokw52qzj9eq…', 'banned', 'china', 'chinese', 'plug', 'uses', 'rt', 'app', 'gu', 'competing', 'platform', 'eileen']",-0.4588,Negative,"['americanborn', 'banned', 'china', 'chinese', 'plug', 'httpstcofva67id77k', 'uses', 'app', 'gu', 'competing', 'platform', 'china…', 'eileen']",-0.4588,Negative
6,RT,HumbertoZamoraR,4011,4803,1716,617563,Sun Jan 17 18:42:35 +0000 2010,"RT @TheEconomist: The story of Eileen Gu, the American-born freestyle skier who has won gold and silver for China at the Winter Olympics ht…",2,3162.526,0.12,TheEconomist,26235879,136,119545,294466,Sat May 12 13:04:50 +0000 2007,"The story of Eileen Gu, the American-born freestyle skier who has won gold and silver for China at the Winter Olymp… https://t.co/2iZ554IDXg",54,194612.035,0.147,-0.026999999999999996,-117829,-26231868,"['china', 'skier', 'silver', 'freestyle', 'rt', 'ht…', 'americanborn', 'gold', 'winter', 'gu', 'olympics', 'theeconomist', 'story', 'eileen']",0.6597,Positive,"['china', 'skier', 'silver', 'freestyle', 'americanborn', 'gold', 'winter', 'olymp…', 'gu', 'httpstco2iz554idxg', 'story', 'eileen']",0.6597,Positive
7,RT,BlueHarlow1,3776,3640,0,2686,Tue May 25 11:20:24 +0000 2021,"RT @revmahoney: Eileen Gu says she wants ""to inspire girls in China."" Then why haven't you said ANYTHING about Uyghur girls who are brutali…",1,0.0,0.098,revmahoney,23390,2718,125,26876,Tue Jan 26 17:33:10 +0000 2010,"Eileen Gu says she wants ""to inspire girls in China."" Then why haven't you said ANYTHING about Uyghur girls who are… https://t.co/3PJ7ojHcP8",62,145623.438,0.118,-0.01999999999999999,-125,-19614,"['girls', 'china', 'says', 'rt', 'havent', 'inspire', 'wants', 'said', 'revmahoney', 'gu', 'anything', 'uyghur', 'brutali…', 'eileen']",0.5719,Positive,"['girls', 'china', 'says', 'havent', 'inspire', 'are…', 'httpstco3pj7ojhcp8', 'wants', 'said', 'gu', 'anything', 'uyghur', 'eileen']",0.5719,Positive
8,Tweet,US_China_Menu,3838,736,50,14555,Fri Jan 22 05:55:12 +0000 2021,@amyyqin You should ask why your Asian female colleagues at @nytimes continue to shame Eileen Gu,2,0.0,0.0,US_China_Menu,23390,2718,125,26876,Tue Jan 26 17:33:10 +0000 2010,"Eileen Gu says she wants ""to inspire girls in China."" Then why haven't you said ANYTHING about Uyghur girls who are… https://t.co/3PJ7ojHcP8",2,0.0,0.0,0.0,-75,-19552,"['shame', 'nytimes', 'amyyqin', 'asian', 'eileen', 'continue', 'gu', 'colleagues', 'female', 'ask']",-0.4767,Negative,"['girls', 'china', 'says', 'havent', 'inspire', 'are…', 'httpstco3pj7ojhcp8', 'wants', 'said', 'gu', 'anything', 'uyghur', 'eileen']",0.5719,Positive
9,RT,tingdc,3332,4997,70,2599,Fri Nov 13 04:56:19 +0000 2009,"RT @ByTimSullivan: Read @shenlulushen asking some important and uncomfortable questions about Eileen Gu, privilege, internet freedom in Chi…",1,0.0,0.0,ByTimSullivan,3980,1974,222,4652,Fri Apr 03 09:59:51 +0000 2009,"Read @shenlulushen asking some important and uncomfortable questions about Eileen Gu, privilege, internet freedom i… https://t.co/WTC4BnKIDQ",1,0.0,0.0,0.0,-152,-648,"['shenlulushen', 'questions', 'asking', 'uncomfortable', 'chi…', 'privilege', 'freedom', 'rt', 'eileen', 'important', 'gu', 'read', 'bytimsullivan', 'internet']",0.7096,Positive,"['shenlulushen', 'questions', 'httpstcowtc4bnkidq', 'asking', 'uncomfortable', 'i…', 'privilege', 'freedom', 'eileen', 'important', 'gu', 'read', 'internet']",0.7096,Positive
